지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),시정(10m)
102,백령도,2018-01-01 01:00,1.4,,6.1,290,31,2000
102,백령도,2018-01-01 02:00,1.2,,5.2,290,33,2000
102,백령도,2018-01-01 03:00,1,,3.3,290,32,2000
102,백령도,2018-01-01 04:00,1.1,,2.5,320,36,2000
102,백령도,2018-01-01 05:00,1.4,,2.6,290,40,2000
102,백령도,2018-01-01 06:00,1.3,,1.8,320,42,2000
102,백령도,2018-01-01 07:00,1.5,,2.9,290,44,2000
102,백령도,2018-01-01 08:00,1.4,,1.9,290,47,2000
102,백령도,2018-01-01 09:00,.7,,3,90,46,2000
102,백령도,2018-01-01 10:00,1.4,,3.1,90,47,2000
102,백령도,2018-01-01 11:00,2.2,,2.9,90,49,2000
102,백령도,2018-01-01 12:00,3,,2.2,110,45,1965
102,백령도,2018-01-01 13:00,4.4,,1.5,250,36,1623
102,백령도,2018-01-01 14:00,4.5,,2.4,250,38,1896
102,백령도,2018-01-01 15:00,4.3,,2.9,270,42,1980
102,백령도,2018-01-01 16:00,4,,5,290,23,2000
102,백령도,2018-01-01 17:00,3.1,,2.8,290,30,2000
102,백령도,2018-01-01 18:00,2.5,,3.2,290,34,2000
102,백령도,2018-01-01 19:00,2.4,,2.8,290,40,2000
102,백령도,2018-01-01 20:00,2.4,,2.6,290,42,2000
102,백령도,2018-01-01 21:00,2.3,,2.6,290,45,2000
102,백령도,2018-01-01 22:00,2.3,,2.2,290,47,1996
102,백령도,2018-01-01 23:00,2.6,,3.2,290,49,1991
102,백령도,2018-01-02 00:00,2.6,,3.6,290,48,2000
102,백령도,2018-01-02 01:00,2,,1,320,63,2000
102,백령도,2018-01-02 02:00,1.8,,1.3,340,68,2000
102,백령도,2018-01-02 03:00,.8,,2,20,63,2000
102,백령도,2018-01-02 04:00,-.8,,2.7,20,68,2000
102,백령도,2018-01-02 05:00,-1.4,,2.3,20,66,1973
102,백령도,2018-01-02 06:00,-1.8,,3.6,50,58,2000
102,백령도,2018-01-02 07:00,-2,,4.1,50,47,2000
102,백령도,2018-01-02 08:00,-2.3,,3.8,50,39,2000
102,백령도,2018-01-02 09:00,-2.2,,2.8,50,49,2000
102,백령도,2018-01-02 10:00,-1.5,,3.2,50,48,2000
102,백령도,2018-01-02 11:00,-1.1,,3.5,50,47,2000
