지점,지점명,일시,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),시정(10m)
102,백령도,2020-01-01 01:00,1.8,,7.5,320,56,4267
102,백령도,2020-01-01 02:00,1.7,,6.2,290,60,3546
102,백령도,2020-01-01 03:00,1.7,,6.7,290,57,3724
102,백령도,2020-01-01 04:00,1.8,,5.4,290,61,3526
102,백령도,2020-01-01 05:00,2.3,,5.8,290,60,3221
102,백령도,2020-01-01 06:00,2.5,0,6.6,290,58,3299
102,백령도,2020-01-01 07:00,2.5,,6.6,290,62,3164
102,백령도,2020-01-01 08:00,2.7,,5.4,320,60,3095
102,백령도,2020-01-01 09:00,2.7,0,4.4,290,58,3355
102,백령도,2020-01-01 10:00,3.3,,4.9,290,54,3340
102,백령도,2020-01-01 11:00,2,,3.6,70,76,2536
102,백령도,2020-01-01 12:00,1.6,,3,90,82,2569
102,백령도,2020-01-01 13:00,1.5,,2.4,90,81,2484
102,백령도,2020-01-01 14:00,1.8,,1.1,90,81,2289
102,백령도,2020-01-01 15:00,2.1,0,1,90,81,2204
102,백령도,2020-01-01 16:00,2.2,,.4,0,83,2219
102,백령도,2020-01-01 17:00,2,,.9,180,84,2136
102,백령도,2020-01-01 18:00,1.9,0,0,0,84,1942
102,백령도,2020-01-01 19:00,2.1,,1.1,140,85,1988
102,백령도,2020-01-01 20:00,2.2,,3.1,90,86,2114
102,백령도,2020-01-01 21:00,2.1,0,1.9,90,86,2113
102,백령도,2020-01-01 22:00,2.3,,2.4,90,86,2070
102,백령도,2020-01-01 23:00,2.3,,1.4,110,86,1973
102,백령도,2020-01-02 00:00,2.2,,1.5,110,86,1864
102,백령도,2020-01-02 01:00,2.4,,2.1,90,86,1921
102,백령도,2020-01-02 02:00,2.4,,1,140,86,1809
102,백령도,2020-01-02 03:00,2.6,,2.4,90,88,1714
102,백령도,2020-01-02 04:00,2.6,,1.6,110,89,1628
102,백령도,2020-01-02 05:00,3.2,,4.3,290,74,1954
102,백령도,2020-01-02 06:00,3.8,,4.5,290,67,1750
102,백령도,2020-01-02 07:00,3.7,,4.4,290,64,2142
102,백령도,2020-01-02 08:00,3.6,,3.4,290,65,2197
102,백령도,2020-01-02 09:00,3.8,,4.4,320,67,1965
102,백령도,2020-01-02 10:00,4,,4.1,320,62,1813
102,백령도,2020-01-02 11:00,4.8,,4.8,320,58,1733
102,백령도,2020-01-02 12:00,4.4,,4.2,290,62,1630
102,백령도,2020-01-02 13:00,4.7,,5.5,290,62,1559
102,백령도,2020-01-02 14:00,4.2,,6,320,64,1418
102,백령도,2020-01-02 15:00,4.1,,6.3,320,63,1387
102,백령도,2020-01-02 16:00,3.6,,5.1,320,62,1326
102,백령도,2020-01-02 17:00,3.1,,4,320,64,1282
102,백령도,2020-01-02 18:00,3.2,,4.3,320,65,1388
102,백령도,2020-01-02 19:00,3.4,,3.8,320,66,1381
102,백령도,2020-01-02 20:00,3.6,,4.3,320,66,1322
102,백령도,2020-01-02 21:00,3.5,,4.4,290,67,1334
102,백령도,2020-01-02 22:00,3.2,,4,320,66,1337
102,백령도,2020-01-02 23:00,3.5,,5.6,320,66,1295
102,백령도,2020-01-03 00:00,3.4,,5.4,320,67,1268
